interaction_id,expected_intent,actual_intent,accuracy_score,helpfulness_score
LOG_001,greeting,greeting,1.0,4
LOG_002,password_reset,password_reset,1.0,4
LOG_003,pricing,pricing,1.0,4
LOG_004,trial,trial,1.0,4
LOG_005,support,support,0.9,3
LOG_006,greeting,greeting,0.9,4
LOG_007,password_reset,password_reset,1.0,5
LOG_008,pricing,pricing,0.9,4
LOG_009,trial,trial,0.9,5
LOG_010,support,support,0.9,4
LOG_011,greeting,greeting,0.9,3
LOG_012,password_reset,password_reset,0.8,5
LOG_013,pricing,pricing,0.8,4
LOG_014,trial,trial,1.0,5
LOG_015,support,support,0.8,3
LOG_016,greeting,unknown,0.1,3
LOG_017,password_reset,support,0.4,5
LOG_018,pricing,pricing,0.8,5
LOG_019,trial,greeting,0.2,3
LOG_020,support,unknown,0.1,5
